slang,formal,In-dictionary,context,category1,,
"byk,banyak,1,""@veloveputrii yg goblok dan gk ada otak, otak udang cm 0,1% itu elo. Emang utk tau smua hrs jd babunya dhani maia dlu?? Skrg jaman udh canggih dan gampang jalin relasi buat tau ttg sesuatu gw mang ckup tau ttg kbiasaan dhani yg doyan perempuan itu udh lama tp yg difitnah malah maia. Intinya ya otak udang lo liat aja skrg sapa yg hdpnya lbh enak dan bahagia dan yg gk byk ngomong. Si dhani rmh aja pake pny anknya Al, job sepi, cari sensasi mulu utk pngalihan issue, dll nah si maia lo liat aja jd wanita sukses kaya raya rmh elit , jalan2 mulu ke eropa itu bukti Tuhan gk prnh tdr. Org pintar liat titik ending dr sbuah kebenaran bkn pembenaran spt yg dilakukan mulan dan dhani."",abreviasi,0,0;;",,,,,,
"ngomong,mengomong,1,""@veloveputrii yg goblok dan gk ada otak, otak udang cm 0,1% itu elo. Emang utk tau smua hrs jd babunya dhani maia dlu?? Skrg jaman udh canggih dan gampang jalin relasi buat tau ttg sesuatu gw mang ckup tau ttg kbiasaan dhani yg doyan perempuan itu udh lama tp yg difitnah malah maia. Intinya ya otak udang lo liat aja skrg sapa yg hdpnya lbh enak dan bahagia dan yg gk byk ngomong. Si dhani rmh aja pake pny anknya Al, job sepi, cari sensasi mulu utk pngalihan issue, dll nah si maia lo liat aja jd wanita sukses kaya raya rmh elit , jalan2 mulu ke eropa itu bukti Tuhan gk prnh tdr. Org pintar liat titik ending dr sbuah kebenaran bkn pembenaran spt yg dilakukan mulan dan dhani."",afiksasi,0,0;;",,,,,,
"pake,pakai,1,""@veloveputrii yg goblok dan gk ada otak, otak udang cm 0,1% itu elo. Emang utk tau smua hrs jd babunya dhani maia dlu?? Skrg jaman udh canggih dan gampang jalin relasi buat tau ttg sesuatu gw mang ckup tau ttg kbiasaan dhani yg doyan perempuan itu udh lama tp yg difitnah malah maia. Intinya ya otak udang lo liat aja skrg sapa yg hdpnya lbh enak dan bahagia dan yg gk byk ngomong. Si dhani rmh aja pake pny anknya Al, job sepi, cari sensasi mulu utk pngalihan issue, dll nah si maia lo liat aja jd wanita sukses kaya raya rmh elit , jalan2 mulu ke eropa itu bukti Tuhan gk prnh tdr. Org pintar liat titik ending dr sbuah kebenaran bkn pembenaran spt yg dilakukan mulan dan dhani."",monoftongisasi,0,0;;",,,,,,
"pny,punya,1,""@veloveputrii yg goblok dan gk ada otak, otak udang cm 0,1% itu elo. Emang utk tau smua hrs jd babunya dhani maia dlu?? Skrg jaman udh canggih dan gampang jalin relasi buat tau ttg sesuatu gw mang ckup tau ttg kbiasaan dhani yg doyan perempuan itu udh lama tp yg difitnah malah maia. Intinya ya otak udang lo liat aja skrg sapa yg hdpnya lbh enak dan bahagia dan yg gk byk ngomong. Si dhani rmh aja pake pny anknya Al, job sepi, cari sensasi mulu utk pngalihan issue, dll nah si maia lo liat aja jd wanita sukses kaya raya rmh elit , jalan2 mulu ke eropa itu bukti Tuhan gk prnh tdr. Org pintar liat titik ending dr sbuah kebenaran bkn pembenaran spt yg dilakukan mulan dan dhani."",abreviasi,0,0;;",,,,,,
"anknya,anaknya,0,""@veloveputrii yg goblok dan gk ada otak, otak udang cm 0,1% itu elo. Emang utk tau smua hrs jd babunya dhani maia dlu?? Skrg jaman udh canggih dan gampang jalin relasi buat tau ttg sesuatu gw mang ckup tau ttg kbiasaan dhani yg doyan perempuan itu udh lama tp yg difitnah malah maia. Intinya ya otak udang lo liat aja skrg sapa yg hdpnya lbh enak dan bahagia dan yg gk byk ngomong. Si dhani rmh aja pake pny anknya Al, job sepi, cari sensasi mulu utk pngalihan issue, dll nah si maia lo liat aja jd wanita sukses kaya raya rmh elit , jalan2 mulu ke eropa itu bukti Tuhan gk prnh tdr. Org pintar liat titik ending dr sbuah kebenaran bkn pembenaran spt yg dilakukan mulan dan dhani."",abreviasi,0,0;;",,,,,,
"rmh,rumah,1,""@veloveputrii yg goblok dan gk ada otak, otak udang cm 0,1% itu elo. Emang utk tau smua hrs jd babunya dhani maia dlu?? Skrg jaman udh canggih dan gampang jalin relasi buat tau ttg sesuatu gw mang ckup tau ttg kbiasaan dhani yg doyan perempuan itu udh lama tp yg difitnah malah maia. Intinya ya otak udang lo liat aja skrg sapa yg hdpnya lbh enak dan bahagia dan yg gk byk ngomong. Si dhani rmh aja pake pny anknya Al, job sepi, cari sensasi mulu utk pngalihan issue, dll nah si maia lo liat aja jd wanita sukses kaya raya rmh elit , jalan2 mulu ke eropa itu bukti Tuhan gk prnh tdr. Org pintar liat titik ending dr sbuah kebenaran bkn pembenaran spt yg dilakukan mulan dan dhani."",abreviasi,0,0;;",,,,,,
"jalan2,jalan-jalan,0,""@veloveputrii yg goblok dan gk ada otak, otak udang cm 0,1% itu elo. Emang utk tau smua hrs jd babunya dhani maia dlu?? Skrg jaman udh canggih dan gampang jalin relasi buat tau ttg sesuatu gw mang ckup tau ttg kbiasaan dhani yg doyan perempuan itu udh lama tp yg difitnah malah maia. Intinya ya otak udang lo liat aja skrg sapa yg hdpnya lbh enak dan bahagia dan yg gk byk ngomong. Si dhani rmh aja pake pny anknya Al, job sepi, cari sensasi mulu utk pngalihan issue, dll nah si maia lo liat aja jd wanita sukses kaya raya rmh elit , jalan2 mulu ke eropa itu bukti Tuhan gk prnh tdr. Org pintar liat titik ending dr sbuah kebenaran bkn pembenaran spt yg dilakukan mulan dan dhani."",reduplikasi,0,0;;",,,,,,
"gk,enggak,1,""@veloveputrii yg goblok dan gk ada otak, otak udang cm 0,1% itu elo. Emang utk tau smua hrs jd babunya dhani maia dlu?? Skrg jaman udh canggih dan gampang jalin relasi buat tau ttg sesuatu gw mang ckup tau ttg kbiasaan dhani yg doyan perempuan itu udh lama tp yg difitnah malah maia. Intinya ya otak udang lo liat aja skrg sapa yg hdpnya lbh enak dan bahagia dan yg gk byk ngomong. Si dhani rmh aja pake pny anknya Al, job sepi, cari sensasi mulu utk pngalihan issue, dll nah si maia lo liat aja jd wanita sukses kaya raya rmh elit , jalan2 mulu ke eropa itu bukti Tuhan gk prnh tdr. Org pintar liat titik ending dr sbuah kebenaran bkn pembenaran spt yg dilakukan mulan dan dhani."",abreviasi,0,0;;",,,,,,
"prnh,pernah,1,""@veloveputrii yg goblok dan gk ada otak, otak udang cm 0,1% itu elo. Emang utk tau smua hrs jd babunya dhani maia dlu?? Skrg jaman udh canggih dan gampang jalin relasi buat tau ttg sesuatu gw mang ckup tau ttg kbiasaan dhani yg doyan perempuan itu udh lama tp yg difitnah malah maia. Intinya ya otak udang lo liat aja skrg sapa yg hdpnya lbh enak dan bahagia dan yg gk byk ngomong. Si dhani rmh aja pake pny anknya Al, job sepi, cari sensasi mulu utk pngalihan issue, dll nah si maia lo liat aja jd wanita sukses kaya raya rmh elit , jalan2 mulu ke eropa itu bukti Tuhan gk prnh tdr. Org pintar liat titik ending dr sbuah kebenaran bkn pembenaran spt yg dilakukan mulan dan dhani."",abreviasi,0,0;;",,,,,,
"tdr,tidur,1,""@veloveputrii yg goblok dan gk ada otak, otak udang cm 0,1% itu elo. Emang utk tau smua hrs jd babunya dhani maia dlu?? Skrg jaman udh canggih dan gampang jalin relasi buat tau ttg sesuatu gw mang ckup tau ttg kbiasaan dhani yg doyan perempuan itu udh lama tp yg difitnah malah maia. Intinya ya otak udang lo liat aja skrg sapa yg hdpnya lbh enak dan bahagia dan yg gk byk ngomong. Si dhani rmh aja pake pny anknya Al, job sepi, cari sensasi mulu utk pngalihan issue, dll nah si maia lo liat aja jd wanita sukses kaya raya rmh elit , jalan2 mulu ke eropa itu bukti Tuhan gk prnh tdr. Org pintar liat titik ending dr sbuah kebenaran bkn pembenaran spt yg dilakukan mulan dan dhani."",abreviasi,0,0;;",,,,,,
"org,orang,1,""@veloveputrii yg goblok dan gk ada otak, otak udang cm 0,1% itu elo. Emang utk tau smua hrs jd babunya dhani maia dlu?? Skrg jaman udh canggih dan gampang jalin relasi buat tau ttg sesuatu gw mang ckup tau ttg kbiasaan dhani yg doyan perempuan itu udh lama tp yg difitnah malah maia. Intinya ya otak udang lo liat aja skrg sapa yg hdpnya lbh enak dan bahagia dan yg gk byk ngomong. Si dhani rmh aja pake pny anknya Al, job sepi, cari sensasi mulu utk pngalihan issue, dll nah si maia lo liat aja jd wanita sukses kaya raya rmh elit , jalan2 mulu ke eropa itu bukti Tuhan gk prnh tdr. Org pintar liat titik ending dr sbuah kebenaran bkn pembenaran spt yg dilakukan mulan dan dhani."",abreviasi,0,0;;",,,,,,
"sbuah,sebuah,1,""@veloveputrii yg goblok dan gk ada otak, otak udang cm 0,1% itu elo. Emang utk tau smua hrs jd babunya dhani maia dlu?? Skrg jaman udh canggih dan gampang jalin relasi buat tau ttg sesuatu gw mang ckup tau ttg kbiasaan dhani yg doyan perempuan itu udh lama tp yg difitnah malah maia. Intinya ya otak udang lo liat aja skrg sapa yg hdpnya lbh enak dan bahagia dan yg gk byk ngomong. Si dhani rmh aja pake pny anknya Al, job sepi, cari sensasi mulu utk pngalihan issue, dll nah si maia lo liat aja jd wanita sukses kaya raya rmh elit , jalan2 mulu ke eropa itu bukti Tuhan gk prnh tdr. Org pintar liat titik ending dr sbuah kebenaran bkn pembenaran spt yg dilakukan mulan dan dhani."",abreviasi,0,0;;",,,,,,
"spt,seperti,1,""@veloveputrii yg goblok dan gk ada otak, otak udang cm 0,1% itu elo. Emang utk tau smua hrs jd babunya dhani maia dlu?? Skrg jaman udh canggih dan gampang jalin relasi buat tau ttg sesuatu gw mang ckup tau ttg kbiasaan dhani yg doyan perempuan itu udh lama tp yg difitnah malah maia. Intinya ya otak udang lo liat aja skrg sapa yg hdpnya lbh enak dan bahagia dan yg gk byk ngomong. Si dhani rmh aja pake pny anknya Al, job sepi, cari sensasi mulu utk pngalihan issue, dll nah si maia lo liat aja jd wanita sukses kaya raya rmh elit , jalan2 mulu ke eropa itu bukti Tuhan gk prnh tdr. Org pintar liat titik ending dr sbuah kebenaran bkn pembenaran spt yg dilakukan mulan dan dhani."",abreviasi,0,0;;",,,,,,
anak2nya,anak-anaknya,0,@veloveputrii lo liat jg anak2nya yg tdnya si dhani bersih keras bkin maia jauh dr ank2nya tp akhirnya ank2nya yg milih kembali ke ibunya sndiri kn stelah mrk branjak besar dan sdh mulai mengerti.. Ank2 tuh gk bs bohong masyarakay yg lht jg bs nilai dr situ ya otak udang mudah2an otak lo nyampe utk menegerti itu jgn kyk majikan lo si mulan yg gk nyampe pikirannya makanya suami temen yg bkin hdpnya enak diembat juga,reduplikasi,,
yg,yang,1,@veloveputrii lo liat jg anak2nya yg tdnya si dhani bersih keras bkin maia jauh dr ank2nya tp akhirnya ank2nya yg milih kembali ke ibunya sndiri kn stelah mrk branjak besar dan sdh mulai mengerti.. Ank2 tuh gk bs bohong masyarakay yg lht jg bs nilai dr situ ya otak udang mudah2an otak lo nyampe utk menegerti itu jgn kyk majikan lo si mulan yg gk nyampe pikirannya makanya suami temen yg bkin hdpnya enak diembat juga,abreviasi,,
tdnya,tadinya,0,@veloveputrii lo liat jg anak2nya yg tdnya si dhani bersih keras bkin maia jauh dr ank2nya tp akhirnya ank2nya yg milih kembali ke ibunya sndiri kn stelah mrk branjak besar dan sdh mulai mengerti.. Ank2 tuh gk bs bohong masyarakay yg lht jg bs nilai dr situ ya otak udang mudah2an otak lo nyampe utk menegerti itu jgn kyk majikan lo si mulan yg gk nyampe pikirannya makanya suami temen yg bkin hdpnya enak diembat juga,abreviasi,,
bkin,bikin,1,@veloveputrii lo liat jg anak2nya yg tdnya si dhani bersih keras bkin maia jauh dr ank2nya tp akhirnya ank2nya yg milih kembali ke ibunya sndiri kn stelah mrk branjak besar dan sdh mulai mengerti.. Ank2 tuh gk bs bohong masyarakay yg lht jg bs nilai dr situ ya otak udang mudah2an otak lo nyampe utk menegerti itu jgn kyk majikan lo si mulan yg gk nyampe pikirannya makanya suami temen yg bkin hdpnya enak diembat juga,abreviasi,,
dr,dari,1,@veloveputrii lo liat jg anak2nya yg tdnya si dhani bersih keras bkin maia jauh dr ank2nya tp akhirnya ank2nya yg milih kembali ke ibunya sndiri kn stelah mrk branjak besar dan sdh mulai mengerti.. Ank2 tuh gk bs bohong masyarakay yg lht jg bs nilai dr situ ya otak udang mudah2an otak lo nyampe utk menegerti itu jgn kyk majikan lo si mulan yg gk nyampe pikirannya makanya suami temen yg bkin hdpnya enak diembat juga,abreviasi,,
ank2nya,anak-anaknya,0,@veloveputrii lo liat jg anak2nya yg tdnya si dhani bersih keras bkin maia jauh dr ank2nya tp akhirnya ank2nya yg milih kembali ke ibunya sndiri kn stelah mrk branjak besar dan sdh mulai mengerti.. Ank2 tuh gk bs bohong masyarakay yg lht jg bs nilai dr situ ya otak udang mudah2an otak lo nyampe utk menegerti itu jgn kyk majikan lo si mulan yg gk nyampe pikirannya makanya suami temen yg bkin hdpnya enak diembat juga,abreviasi,,
tp,tapi,1,@veloveputrii lo liat jg anak2nya yg tdnya si dhani bersih keras bkin maia jauh dr ank2nya tp akhirnya ank2nya yg milih kembali ke ibunya sndiri kn stelah mrk branjak besar dan sdh mulai mengerti.. Ank2 tuh gk bs bohong masyarakay yg lht jg bs nilai dr situ ya otak udang mudah2an otak lo nyampe utk menegerti itu jgn kyk majikan lo si mulan yg gk nyampe pikirannya makanya suami temen yg bkin hdpnya enak diembat juga,abreviasi,,
ank2nya,anak-anaknya,0,@veloveputrii lo liat jg anak2nya yg tdnya si dhani bersih keras bkin maia jauh dr ank2nya tp akhirnya ank2nya yg milih kembali ke ibunya sndiri kn stelah mrk branjak besar dan sdh mulai mengerti.. Ank2 tuh gk bs bohong masyarakay yg lht jg bs nilai dr situ ya otak udang mudah2an otak lo nyampe utk menegerti itu jgn kyk majikan lo si mulan yg gk nyampe pikirannya makanya suami temen yg bkin hdpnya enak diembat juga,abreviasi,,
yg,yang,1,@veloveputrii lo liat jg anak2nya yg tdnya si dhani bersih keras bkin maia jauh dr ank2nya tp akhirnya ank2nya yg milih kembali ke ibunya sndiri kn stelah mrk branjak besar dan sdh mulai mengerti.. Ank2 tuh gk bs bohong masyarakay yg lht jg bs nilai dr situ ya otak udang mudah2an otak lo nyampe utk menegerti itu jgn kyk majikan lo si mulan yg gk nyampe pikirannya makanya suami temen yg bkin hdpnya enak diembat juga,abreviasi,,
milih,memilih,1,@veloveputrii lo liat jg anak2nya yg tdnya si dhani bersih keras bkin maia jauh dr ank2nya tp akhirnya ank2nya yg milih kembali ke ibunya sndiri kn stelah mrk branjak besar dan sdh mulai mengerti.. Ank2 tuh gk bs bohong masyarakay yg lht jg bs nilai dr situ ya otak udang mudah2an otak lo nyampe utk menegerti itu jgn kyk majikan lo si mulan yg gk nyampe pikirannya makanya suami temen yg bkin hdpnya enak diembat juga,afiksasi,,
sndiri,sendiri,1,@veloveputrii lo liat jg anak2nya yg tdnya si dhani bersih keras bkin maia jauh dr ank2nya tp akhirnya ank2nya yg milih kembali ke ibunya sndiri kn stelah mrk branjak besar dan sdh mulai mengerti.. Ank2 tuh gk bs bohong masyarakay yg lht jg bs nilai dr situ ya otak udang mudah2an otak lo nyampe utk menegerti itu jgn kyk majikan lo si mulan yg gk nyampe pikirannya makanya suami temen yg bkin hdpnya enak diembat juga,abreviasi,,
kn,kan,1,@veloveputrii lo liat jg anak2nya yg tdnya si dhani bersih keras bkin maia jauh dr ank2nya tp akhirnya ank2nya yg milih kembali ke ibunya sndiri kn stelah mrk branjak besar dan sdh mulai mengerti.. Ank2 tuh gk bs bohong masyarakay yg lht jg bs nilai dr situ ya otak udang mudah2an otak lo nyampe utk menegerti itu jgn kyk majikan lo si mulan yg gk nyampe pikirannya makanya suami temen yg bkin hdpnya enak diembat juga,abreviasi,,
stelah,setelah,1,@veloveputrii lo liat jg anak2nya yg tdnya si dhani bersih keras bkin maia jauh dr ank2nya tp akhirnya ank2nya yg milih kembali ke ibunya sndiri kn stelah mrk branjak besar dan sdh mulai mengerti.. Ank2 tuh gk bs bohong masyarakay yg lht jg bs nilai dr situ ya otak udang mudah2an otak lo nyampe utk menegerti itu jgn kyk majikan lo si mulan yg gk nyampe pikirannya makanya suami temen yg bkin hdpnya enak diembat juga,zeroisasi,,
mrk,mereka,1,@veloveputrii lo liat jg anak2nya yg tdnya si dhani bersih keras bkin maia jauh dr ank2nya tp akhirnya ank2nya yg milih kembali ke ibunya sndiri kn stelah mrk branjak besar dan sdh mulai mengerti.. Ank2 tuh gk bs bohong masyarakay yg lht jg bs nilai dr situ ya otak udang mudah2an otak lo nyampe utk menegerti itu jgn kyk majikan lo si mulan yg gk nyampe pikirannya makanya suami temen yg bkin hdpnya enak diembat juga,abreviasi,,
branjak,beranjak,1,@veloveputrii lo liat jg anak2nya yg tdnya si dhani bersih keras bkin maia jauh dr ank2nya tp akhirnya ank2nya yg milih kembali ke ibunya sndiri kn stelah mrk branjak besar dan sdh mulai mengerti.. Ank2 tuh gk bs bohong masyarakay yg lht jg bs nilai dr situ ya otak udang mudah2an otak lo nyampe utk menegerti itu jgn kyk majikan lo si mulan yg gk nyampe pikirannya makanya suami temen yg bkin hdpnya enak diembat juga,zeroisasi,,
ank2,anak-anak,1,@veloveputrii lo liat jg anak2nya yg tdnya si dhani bersih keras bkin maia jauh dr ank2nya tp akhirnya ank2nya yg milih kembali ke ibunya sndiri kn stelah mrk branjak besar dan sdh mulai mengerti.. Ank2 tuh gk bs bohong masyarakay yg lht jg bs nilai dr situ ya otak udang mudah2an otak lo nyampe utk menegerti itu jgn kyk majikan lo si mulan yg gk nyampe pikirannya makanya suami temen yg bkin hdpnya enak diembat juga,abreviasi,,
gk,enggak,1,@veloveputrii lo liat jg anak2nya yg tdnya si dhani bersih keras bkin maia jauh dr ank2nya tp akhirnya ank2nya yg milih kembali ke ibunya sndiri kn stelah mrk branjak besar dan sdh mulai mengerti.. Ank2 tuh gk bs bohong masyarakay yg lht jg bs nilai dr situ ya otak udang mudah2an otak lo nyampe utk menegerti itu jgn kyk majikan lo si mulan yg gk nyampe pikirannya makanya suami temen yg bkin hdpnya enak diembat juga,abreviasi,,
bs,bisa,1,@veloveputrii lo liat jg anak2nya yg tdnya si dhani bersih keras bkin maia jauh dr ank2nya tp akhirnya ank2nya yg milih kembali ke ibunya sndiri kn stelah mrk branjak besar dan sdh mulai mengerti.. Ank2 tuh gk bs bohong masyarakay yg lht jg bs nilai dr situ ya otak udang mudah2an otak lo nyampe utk menegerti itu jgn kyk majikan lo si mulan yg gk nyampe pikirannya makanya suami temen yg bkin hdpnya enak diembat juga,abreviasi,,
masyarakay,masyarakat,1,@veloveputrii lo liat jg anak2nya yg tdnya si dhani bersih keras bkin maia jauh dr ank2nya tp akhirnya ank2nya yg milih kembali ke ibunya sndiri kn stelah mrk branjak besar dan sdh mulai mengerti.. Ank2 tuh gk bs bohong masyarakay yg lht jg bs nilai dr situ ya otak udang mudah2an otak lo nyampe utk menegerti itu jgn kyk majikan lo si mulan yg gk nyampe pikirannya makanya suami temen yg bkin hdpnya enak diembat juga,salah ketik,,
yg,yang,1,@veloveputrii lo liat jg anak2nya yg tdnya si dhani bersih keras bkin maia jauh dr ank2nya tp akhirnya ank2nya yg milih kembali ke ibunya sndiri kn stelah mrk branjak besar dan sdh mulai mengerti.. Ank2 tuh gk bs bohong masyarakay yg lht jg bs nilai dr situ ya otak udang mudah2an otak lo nyampe utk menegerti itu jgn kyk majikan lo si mulan yg gk nyampe pikirannya makanya suami temen yg bkin hdpnya enak diembat juga,abreviasi,,
lht,lihat,1,@veloveputrii lo liat jg anak2nya yg tdnya si dhani bersih keras bkin maia jauh dr ank2nya tp akhirnya ank2nya yg milih kembali ke ibunya sndiri kn stelah mrk branjak besar dan sdh mulai mengerti.. Ank2 tuh gk bs bohong masyarakay yg lht jg bs nilai dr situ ya otak udang mudah2an otak lo nyampe utk menegerti itu jgn kyk majikan lo si mulan yg gk nyampe pikirannya makanya suami temen yg bkin hdpnya enak diembat juga,abreviasi,,
jg,juga,1,@veloveputrii lo liat jg anak2nya yg tdnya si dhani bersih keras bkin maia jauh dr ank2nya tp akhirnya ank2nya yg milih kembali ke ibunya sndiri kn stelah mrk branjak besar dan sdh mulai mengerti.. Ank2 tuh gk bs bohong masyarakay yg lht jg bs nilai dr situ ya otak udang mudah2an otak lo nyampe utk menegerti itu jgn kyk majikan lo si mulan yg gk nyampe pikirannya makanya suami temen yg bkin hdpnya enak diembat juga,abreviasi,,
bs,bisa,1,@veloveputrii lo liat jg anak2nya yg tdnya si dhani bersih keras bkin maia jauh dr ank2nya tp akhirnya ank2nya yg milih kembali ke ibunya sndiri kn stelah mrk branjak besar dan sdh mulai mengerti.. Ank2 tuh gk bs bohong masyarakay yg lht jg bs nilai dr situ ya otak udang mudah2an otak lo nyampe utk menegerti itu jgn kyk majikan lo si mulan yg gk nyampe pikirannya makanya suami temen yg bkin hdpnya enak diembat juga,abreviasi,,
mudah2an,mudah-mudahan,1,@veloveputrii lo liat jg anak2nya yg tdnya si dhani bersih keras bkin maia jauh dr ank2nya tp akhirnya ank2nya yg milih kembali ke ibunya sndiri kn stelah mrk branjak besar dan sdh mulai mengerti.. Ank2 tuh gk bs bohong masyarakay yg lht jg bs nilai dr situ ya otak udang mudah2an otak lo nyampe utk menegerti itu jgn kyk majikan lo si mulan yg gk nyampe pikirannya makanya suami temen yg bkin hdpnya enak diembat juga,reduplikasi,,
nyampe,sampai,1,@veloveputrii lo liat jg anak2nya yg tdnya si dhani bersih keras bkin maia jauh dr ank2nya tp akhirnya ank2nya yg milih kembali ke ibunya sndiri kn stelah mrk branjak besar dan sdh mulai mengerti.. Ank2 tuh gk bs bohong masyarakay yg lht jg bs nilai dr situ ya otak udang mudah2an otak lo nyampe utk menegerti itu jgn kyk majikan lo si mulan yg gk nyampe pikirannya makanya suami temen yg bkin hdpnya enak diembat juga,afiksasi,,
utk,untuk,1,@veloveputrii lo liat jg anak2nya yg tdnya si dhani bersih keras bkin maia jauh dr ank2nya tp akhirnya ank2nya yg milih kembali ke ibunya sndiri kn stelah mrk branjak besar dan sdh mulai mengerti.. Ank2 tuh gk bs bohong masyarakay yg lht jg bs nilai dr situ ya otak udang mudah2an otak lo nyampe utk menegerti itu jgn kyk majikan lo si mulan yg gk nyampe pikirannya makanya suami temen yg bkin hdpnya enak diembat juga,abreviasi,,
menegerti,mengerti,1,@veloveputrii lo liat jg anak2nya yg tdnya si dhani bersih keras bkin maia jauh dr ank2nya tp akhirnya ank2nya yg milih kembali ke ibunya sndiri kn stelah mrk branjak besar dan sdh mulai mengerti.. Ank2 tuh gk bs bohong masyarakay yg lht jg bs nilai dr situ ya otak udang mudah2an otak lo nyampe utk menegerti itu jgn kyk majikan lo si mulan yg gk nyampe pikirannya makanya suami temen yg bkin hdpnya enak diembat juga,anaptiksis,,
bkin,bikin,1,@veloveputrii lo liat jg anak2nya yg tdnya si dhani bersih keras bkin maia jauh dr ank2nya tp akhirnya ank2nya yg milih kembali ke ibunya sndiri kn stelah mrk branjak besar dan sdh mulai mengerti.. Ank2 tuh gk bs bohong masyarakay yg lht jg bs nilai dr situ ya otak udang mudah2an otak lo nyampe utk menegerti itu jgn kyk majikan lo si mulan yg gk nyampe pikirannya makanya suami temen yg bkin hdpnya enak diembat juga,abreviasi,,
hdpnya,hidupnya,0,@veloveputrii lo liat jg anak2nya yg tdnya si dhani bersih keras bkin maia jauh dr ank2nya tp akhirnya ank2nya yg milih kembali ke ibunya sndiri kn stelah mrk branjak besar dan sdh mulai mengerti.. Ank2 tuh gk bs bohong masyarakay yg lht jg bs nilai dr situ ya otak udang mudah2an otak lo nyampe utk menegerti itu jgn kyk majikan lo si mulan yg gk nyampe pikirannya makanya suami temen yg bkin hdpnya enak diembat juga,abreviasi,,
apa2,apa-apa,1,@veloveputrii goblok emang lo! Gatau apa2 sok2 an nasehatin al .. Ngaca dlu gih jgn2 lo fans nya mulan hahahha pantes sama jelek nya,reduplikasi,,
sok2,sok-sok,0,@veloveputrii goblok emang lo! Gatau apa2 sok2 an nasehatin al .. Ngaca dlu gih jgn2 lo fans nya mulan hahahha pantes sama jelek nya,reduplikasi,,
nasehatin,menasihati,1,@veloveputrii goblok emang lo! Gatau apa2 sok2 an nasehatin al .. Ngaca dlu gih jgn2 lo fans nya mulan hahahha pantes sama jelek nya,afiksasi,,
ngaca,mengaca,1,@veloveputrii goblok emang lo! Gatau apa2 sok2 an nasehatin al .. Ngaca dlu gih jgn2 lo fans nya mulan hahahha pantes sama jelek nya,afiksasi,,
dlu,dulu,1,@veloveputrii goblok emang lo! Gatau apa2 sok2 an nasehatin al .. Ngaca dlu gih jgn2 lo fans nya mulan hahahha pantes sama jelek nya,abreviasi,,
jgn2,jangan-jangan,1,@veloveputrii goblok emang lo! Gatau apa2 sok2 an nasehatin al .. Ngaca dlu gih jgn2 lo fans nya mulan hahahha pantes sama jelek nya,reduplikasi,,
pantes,pantas,1,@veloveputrii goblok emang lo! Gatau apa2 sok2 an nasehatin al .. Ngaca dlu gih jgn2 lo fans nya mulan hahahha pantes sama jelek nya,modifikasi vokal,,
ajah,saja,1,Congrats kak!! Lanjut S2 ajah kak,zeroisasi,,
kakk,kak,1,Congrats kakk!!!,elongasi,,
kakkkk,kak,1,Congrats kakkkk!,elongasi,,
slamet,selamat,1,Slamet kak @maudyayunda,zeroisasi,,
ampe,sampai,1,@ajenggiantie ampe dia jago nari...,zeroisasi,,
nari,menari,1,@ajenggiantie ampe dia jago nari...,afiksasi,,
ngapain,mengapai,1,Ngapain ehh,afiksasi,,
ehh,eh,1,Ngapain ehh,elongasi,,
mf,maaf,1,Mf bru ngcpin nih hehe,abreviasi,,
bru,baru,1,Mf bru ngcpin nih hehe,abreviasi,,
ngcpin,mengucapkan,1,Mf bru ngcpin nih hehe,abreviasi,,
pgn,pengin,1,Aku cuma pgn tau kakak graduate di major apa tapi kenapa komen isinya iklan semua? btw congrats on your graduation!!,abreviasi,,
woowwww,wow,1,woowwww semenjak aku gabung di www.regram.net sekarang instagramku banyak followers nya .. terimakasih www.regram.net,elongasi,,
iaa,ya,1,Kak modii selamat iaa kak :) sukses trus miss u kak modiii :*,subtitusi,,
trus,terus,1,Kak modii selamat iaa kak :) sukses trus miss u kak modiii :*,zeroisasi,,
"yaaaa,ya,1,""Kak mod, congrats yaaaa"",elongasi,0,0;;",,,,,,
kakk,kak,1,congrats ya kakk modd @maudyayunda,elongasi,,
"kdg,kadang,1,""Kdg nyesel knp baru skrg baru ngerasa kehadiran Maudy,semangatdan prinsip pendidikanmu nular sampai sini mod jadi semangat walaupun skrg kuliah busa dibilang banyak kebagi fokus :)"",abreviasi,0,0;;",,,,,,
"nyesel,menyesal,1,""Kdg nyesel knp baru skrg baru ngerasa kehadiran Maudy,semangatdan prinsip pendidikanmu nular sampai sini mod jadi semangat walaupun skrg kuliah busa dibilang banyak kebagi fokus :)"",afiksasi,0,0;;",,,,,,
"knp,kenapa,1,""Kdg nyesel knp baru skrg baru ngerasa kehadiran Maudy,semangatdan prinsip pendidikanmu nular sampai sini mod jadi semangat walaupun skrg kuliah busa dibilang banyak kebagi fokus :)"",abreviasi,0,0;;",,,,,,
"skrg,sekarang,1,""Kdg nyesel knp baru skrg baru ngerasa kehadiran Maudy,semangatdan prinsip pendidikanmu nular sampai sini mod jadi semangat walaupun skrg kuliah busa dibilang banyak kebagi fokus :)"",abreviasi,0,0;;",,,,,,
"ngerasa,merasa,1,""Kdg nyesel knp baru skrg baru ngerasa kehadiran Maudy,semangatdan prinsip pendidikanmu nular sampai sini mod jadi semangat walaupun skrg kuliah busa dibilang banyak kebagi fokus :)"",afiksasi,0,0;;",,,,,,
